38 Provinsi,,,
,Produksi Telur Ayam Petelur menurut Provinsi (Ton),,
,2021,2022,2023
ACEH,774.4,1406.31,3934
SUMATERA UTARA,453118.88,584728.4,539082.7
SUMATERA BARAT,303344.86,389413.95,360894.1
RIAU,4066.73,2380.91,6725.2
JAMBI,42392.32,69078.65,42869.6
SUMATERA SELATAN,185928.45,229672.82,221202
BENGKULU,8250.92,8277.59,9816.2
LAMPUNG,197993.17,213206.31,235555.6
KEP. BANGKA BELITUNG,27037.46,22741.1,32166.9
KEP. RIAU,17822.64,20897.07,20143.7
DKI JAKARTA,0,0,0
JAWA BARAT,661895.15,699384.4,787467.1
JAWA TENGAH,735883.59,827711.57,875492.3
DI YOGYAKARTA,129785.12,168303,154407.4
JAWA TIMUR,1475886.12,1314114.93,1755885
BANTEN,235099.35,318552.4,265716.3
BALI,191589.11,176855.43,227936.6
NUSA TENGGARA BARAT,45991.24,40154.99,54716.5
NUSA TENGGARA TIMUR,5229.98,6266.03,6222.2
KALIMANTAN BARAT,53475.51,70235.91,63620.6
KALIMANTAN TENGAH,8396.73,3050.77,9989.7
KALIMANTAN SELATAN,84160.59,106115.05,100127.2
KALIMANTAN TIMUR,30229.35,29051.65,35964.3
KALIMANTAN UTARA,2213.16,1014.67,2633
SULAWESI UTARA,33302.47,30760.56,39620.5
SULAWESI TENGAH,17528.05,13208.53,20853.4
SULAWESI SELATAN,176766.8,188248.24,210302.2
SULAWESI TENGGARA,2134.85,1459.71,2717.7
GORONTALO,2728.33,2164.63,3570.5
SULAWESI BARAT,164.85,541.16,1019.9
MALUKU,1265.25,1691.11,1482.7
MALUKU UTARA,37.09,160.21,185.3
PAPUA BARAT,7517.32,9648.27,8943.5
PAPUA BARAT DAYA,-,-,0
PAPUA,13987.82,15843.11,16641.5
PAPUA SELATAN,-,-,0
PAPUA TENGAH,-,-,0
PAPUA PEGUNUNGAN,-,-,0
INDONESIA,5155997.65,5566339.44,6117905.4
